policy,dataset,condition,shift_type,severity,n_samples,n_real,n_fake,false_alarm_exposure,missed_risky_fake,unsafe_pass,review_load,auto_block_precision,block_rate,label_rate,allow_rate,mean_risk_score
detector_only,ffpp,clean,clean,none,197,84,113,0.0,0.02654867256637168,0.0,0.015228426395939087,1.0,0.5431472081218274,0.02030456852791878,0.4213197969543147,0.566246459951507
detector_only,ffpp,jpeg_q95,jpeg_mild,mild,197,84,113,0.0,0.035398230088495575,0.0,0.01015228426395939,1.0,0.5431472081218274,0.025380710659898477,0.4213197969543147,0.5652176085765281
detector_only,ffpp,jpeg_q75,jpeg_mild,mild,197,84,113,0.0,0.035398230088495575,0.0,0.01015228426395939,1.0,0.5431472081218274,0.025380710659898477,0.4213197969543147,0.5661454091373833
detector_only,ffpp,jpeg_q50,jpeg_mild,strong,197,84,113,0.0,0.26548672566371684,0.1504424778761062,0.08121827411167512,1.0,0.3401015228426396,0.06598984771573604,0.5126903553299492,0.42406121234509414
detector_only,ffpp,blur_s1,blur_mild,mild,197,84,113,0.08333333333333333,0.017699115044247787,0.0,0.030456852791878174,0.9821428571428571,0.5685279187817259,0.08629441624365482,0.3147208121827411,0.6518776975479466
detector_only,ffpp,blur_s2,blur_mild,moderate,197,84,113,0.7857142857142857,0.017699115044247787,0.008849557522123894,0.1218274111675127,0.7124183006535948,0.7766497461928934,0.07106598984771574,0.030456852791878174,0.8801919796299209
detector_only,ffpp,crop_90,crop_resize,moderate,197,84,113,0.011904761904761904,0.02654867256637168,0.0,0.02030456852791878,1.0,0.5431472081218274,0.015228426395939087,0.4213197969543147,0.5655534674341286
detector_only,ffpp,crop_80,crop_resize,moderate,197,84,113,0.023809523809523808,0.008849557522123894,0.0,0.030456852791878174,1.0,0.5482233502538071,0.01015228426395939,0.41116751269035534,0.5747270414228169
detector_only,ffpp,resize_reencode,crop_resize,moderate,197,84,113,0.011904761904761904,0.02654867256637168,0.0,0.015228426395939087,0.9907407407407407,0.5482233502538071,0.015228426395939087,0.4213197969543147,0.5780590147160244
detector_only,ffpp,combo_comp_blur_noise,mixed_severe,severe,197,84,113,0.0,0.061946902654867256,0.0,0.1319796954314721,1.0,0.40609137055837563,0.08629441624365482,0.3756345177664975,0.5699950478437706
detector_only,dfdc,clean_cross_dataset,cross_dataset,cross_dataset,354,71,283,0.0,0.8091872791519434,0.6325088339222615,0.07627118644067797,1.0,0.07627118644067797,0.1807909604519774,0.6666666666666666,0.27481697701092317
detector_provenance,ffpp,clean,clean,none,197,84,113,0.011904761904761904,0.0,0.0,0.06598984771573604,1.0,0.5126903553299492,0.005076142131979695,0.41624365482233505,0.5903319530807523
detector_provenance,ffpp,jpeg_q95,jpeg_mild,mild,197,84,113,0.011904761904761904,0.0,0.0,0.06091370558375635,1.0,0.5177664974619289,0.01015228426395939,0.41116751269035534,0.5957442969734226
detector_provenance,ffpp,jpeg_q75,jpeg_mild,mild,197,84,113,0.011904761904761904,0.0,0.0,0.06598984771573604,1.0,0.5126903553299492,0.005076142131979695,0.41624365482233505,0.5968262391758496
detector_provenance,ffpp,jpeg_q50,jpeg_mild,strong,197,84,113,0.0,0.22123893805309736,0.05309734513274336,0.07106598984771574,1.0,0.3756345177664975,0.10152284263959391,0.4517766497461929,0.49992334349396383
detector_provenance,ffpp,blur_s1,blur_mild,mild,197,84,113,0.08333333333333333,0.0,0.0,0.07106598984771574,0.9716981132075472,0.5380710659898477,0.05583756345177665,0.3350253807106599,0.6465564340481493
detector_provenance,ffpp,blur_s2,blur_mild,moderate,197,84,113,0.6666666666666666,0.008849557522123894,0.0,0.17258883248730963,0.7611940298507462,0.6802030456852792,0.09137055837563451,0.05583756345177665,0.849852826271561
detector_provenance,ffpp,crop_90,crop_resize,moderate,197,84,113,0.011904761904761904,0.0,0.0,0.050761421319796954,1.0,0.5279187817258884,0.005076142131979695,0.41624365482233505,0.596510371877984
detector_provenance,ffpp,crop_80,crop_resize,moderate,197,84,113,0.023809523809523808,0.0,0.0,0.05583756345177665,0.9903846153846154,0.5279187817258884,0.0,0.41624365482233505,0.6027834896735859
detector_provenance,ffpp,resize_reencode,crop_resize,moderate,197,84,113,0.023809523809523808,0.0,0.0,0.06091370558375635,0.9902912621359223,0.5228426395939086,0.02030456852791878,0.39593908629441626,0.604579169264668
detector_provenance,ffpp,combo_comp_blur_noise,mixed_severe,severe,197,84,113,0.05952380952380952,0.035398230088495575,0.0,0.09137055837563451,1.0,0.4873096446700508,0.14720812182741116,0.27411167512690354,0.6467558981710522
detector_provenance,dfdc,clean_cross_dataset,cross_dataset,cross_dataset,354,71,283,0.04225352112676056,0.7102473498233216,0.45229681978798586,0.11864406779661017,1.0,0.12146892655367232,0.23163841807909605,0.5282485875706214,0.3791690978320937
detector_watermark,ffpp,clean,clean,none,197,84,113,0.011904761904761904,0.008849557522123894,0.0,0.025380710659898477,1.0,0.5482233502538071,0.005076142131979695,0.4213197969543147,0.5670063735842582
detector_watermark,ffpp,jpeg_q95,jpeg_mild,mild,197,84,113,0.011904761904761904,0.02654867256637168,0.0,0.015228426395939087,1.0,0.5482233502538071,0.015228426395939087,0.4213197969543147,0.5668266568395613
detector_watermark,ffpp,jpeg_q75,jpeg_mild,mild,197,84,113,0.011904761904761904,0.008849557522123894,0.0,0.025380710659898477,1.0,0.5482233502538071,0.005076142131979695,0.4213197969543147,0.5685828998561608
detector_watermark,ffpp,jpeg_q50,jpeg_mild,strong,197,84,113,0.0,0.24778761061946902,0.1415929203539823,0.08629441624365482,1.0,0.34517766497461927,0.06091370558375635,0.5076142131979695,0.4405919726782811
detector_watermark,ffpp,blur_s1,blur_mild,mild,197,84,113,0.05952380952380952,0.017699115044247787,0.0,0.015228426395939087,0.9734513274336283,0.5736040609137056,0.08121827411167512,0.3299492385786802,0.6400801020635063
detector_watermark,ffpp,blur_s2,blur_mild,moderate,197,84,113,0.7738095238095238,0.017699115044247787,0.0,0.14720812182741116,0.7414965986394558,0.7461928934010152,0.08629441624365482,0.02030456852791878,0.8648883278957555
detector_watermark,ffpp,crop_90,crop_resize,moderate,197,84,113,0.011904761904761904,0.02654867256637168,0.0,0.02030456852791878,1.0,0.5431472081218274,0.015228426395939087,0.4213197969543147,0.56881634163878
detector_watermark,ffpp,crop_80,crop_resize,moderate,197,84,113,0.023809523809523808,0.008849557522123894,0.0,0.025380710659898477,1.0,0.5532994923857868,0.005076142131979695,0.41624365482233505,0.5773372392831607
detector_watermark,ffpp,resize_reencode,crop_resize,moderate,197,84,113,0.011904761904761904,0.008849557522123894,0.0,0.02030456852791878,0.9908256880733946,0.5532994923857868,0.01015228426395939,0.41624365482233505,0.5773930350793594
detector_watermark,ffpp,combo_comp_blur_noise,mixed_severe,severe,197,84,113,0.011904761904761904,0.07079646017699115,0.0,0.116751269035533,1.0,0.4213197969543147,0.06598984771573604,0.39593908629441626,0.5765589253586185
detector_watermark,dfdc,clean_cross_dataset,cross_dataset,cross_dataset,354,71,283,0.014084507042253521,0.7915194346289752,0.6007067137809188,0.09322033898305085,1.0,0.07627118644067797,0.1864406779661017,0.6440677966101694,0.2986931042917085
detector_provenance_watermark,ffpp,clean,clean,none,197,84,113,0.011904761904761904,0.0,0.0,0.09137055837563451,1.0,0.4873096446700508,0.20812182741116753,0.2131979695431472,0.5777968712397754
detector_provenance_watermark,ffpp,jpeg_q95,jpeg_mild,mild,197,84,113,0.011904761904761904,0.0,0.0,0.08121827411167512,1.0,0.49746192893401014,0.20812182741116753,0.2131979695431472,0.5824683956715588
detector_provenance_watermark,ffpp,jpeg_q75,jpeg_mild,mild,197,84,113,0.011904761904761904,0.0,0.0,0.07614213197969544,1.0,0.5025380710659898,0.24873096446700507,0.17258883248730963,0.5897271765599394
